asset,entry_day,hold_days,trades,win_rate_pct,avg_return_pct,median_return_pct,avg_win_pct,avg_loss_pct,profit_factor,expected_value_pct,worst_return_pct,best_return_pct,quality_score,payoff_ratio,loss_rate_pct,gross_profit_pct,gross_loss_pct,return_std_pct,downside_std_pct,sharpe_like,sortino_like,max_consecutive_losses,max_consecutive_wins
SOL,1,10,97,42.27,-0.94,-2.47,10.59,-9.38,0.83,-0.94,-28.27,38.5,-4.03,1.13,57.73,434.14,525.02,12.51,6.5,-0.07,-0.14,7.0,5.0
SOL,2,1,99,41.41,-0.48,-0.71,2.89,-2.85,0.72,-0.48,-10.21,11.82,11.85,1.01,58.59,118.49,165.58,3.95,2.3,-0.12,-0.21,8.0,3.0
SOL,2,2,98,55.1,-0.1,0.88,3.9,-5.01,0.96,-0.1,-14.31,17.41,47.13,0.78,44.9,210.63,220.47,5.73,3.73,-0.02,-0.03,4.0,6.0
SOL,2,3,98,58.16,0.12,1.39,4.29,-5.67,1.05,0.12,-16.99,17.12,59.25,0.76,41.84,244.42,232.31,6.31,4.54,0.02,0.03,4.0,6.0
SOL,2,4,98,55.1,-0.07,0.94,5.35,-6.72,0.98,-0.07,-19.43,39.48,48.81,0.8,44.9,288.7,295.5,8.2,5.21,-0.01,-0.01,7.0,7.0
SOL,2,5,97,50.52,-0.06,0.04,6.52,-6.78,0.98,-0.06,-24.36,34.52,47.51,0.96,49.48,319.53,325.22,9.26,5.94,-0.01,-0.01,4.0,7.0
SOL,2,6,97,49.48,-0.29,0.0,6.61,-7.19,0.92,-0.29,-33.42,29.03,26.63,0.92,49.48,317.24,345.22,9.39,6.57,-0.03,-0.04,7.0,7.0
SOL,2,7,97,41.24,-1.01,-1.37,8.03,-7.36,0.77,-1.01,-25.56,33.6,-8.68,1.09,58.76,321.35,419.54,10.03,6.15,-0.1,-0.16,5.0,4.0
SOL,2,8,97,42.27,-0.59,-0.97,9.16,-7.74,0.87,-0.59,-25.44,37.34,10.45,1.18,57.73,375.66,433.36,10.85,6.42,-0.05,-0.09,5.0,4.0
SOL,2,9,97,44.33,-0.21,-1.34,10.17,-8.48,0.96,-0.21,-25.96,41.31,28.43,1.2,55.67,437.42,457.82,12.24,6.24,-0.02,-0.03,6.0,4.0
SOL,2,10,97,47.42,-0.06,-0.5,9.83,-8.97,0.99,-0.06,-26.15,36.29,36.41,1.1,52.58,452.01,457.62,12.44,6.96,-0.0,-0.01,11.0,6.0
SOL,3,1,98,57.14,0.38,0.63,3.11,-3.28,1.27,0.38,-11.98,12.97,73.23,0.95,42.86,174.37,137.57,4.09,2.45,0.09,0.15,6.0,6.0
SOL,3,2,98,55.1,0.62,0.68,4.39,-4.0,1.34,0.62,-14.91,13.15,83.73,1.1,44.9,236.92,176.17,5.28,3.61,0.12,0.17,4.0,6.0
SOL,3,3,98,53.06,0.41,0.51,5.54,-5.4,1.16,0.41,-17.41,26.95,70.63,1.03,46.94,288.26,248.55,7.08,4.11,0.06,0.1,4.0,7.0
SOL,3,4,97,52.58,0.42,0.34,6.25,-6.03,1.15,0.42,-22.46,32.28,70.89,1.04,47.42,318.5,277.52,8.6,5.21,0.05,0.08,4.0,7.0
SOL,3,5,97,50.52,0.15,0.25,6.34,-6.16,1.05,0.15,-25.85,21.71,57.41,1.03,49.48,310.72,295.72,8.33,5.67,0.02,0.03,4.0,7.0
SOL,3,6,97,42.27,-0.58,-1.26,7.58,-6.56,0.85,-0.58,-19.25,22.69,10.47,1.16,57.73,310.9,367.53,8.88,5.08,-0.07,-0.11,5.0,4.0
SOL,3,7,97,44.33,-0.17,-0.9,8.54,-7.11,0.96,-0.17,-19.57,25.0,29.86,1.2,55.67,367.04,383.98,9.69,5.17,-0.02,-0.03,5.0,5.0
SOL,3,8,97,44.33,0.21,-0.5,9.75,-7.39,1.05,0.21,-20.16,39.43,47.26,1.32,55.67,419.43,398.83,11.22,5.51,0.02,0.04,5.0,5.0
SOL,3,9,97,46.39,0.37,-0.72,9.89,-7.86,1.09,0.37,-22.72,34.47,55.31,1.26,53.61,444.9,408.58,11.54,6.2,0.03,0.06,7.0,5.0
SOL,3,10,97,52.58,0.23,1.14,9.54,-10.09,1.05,0.23,-24.48,28.98,61.2,0.95,47.42,486.48,464.15,12.06,6.49,0.02,0.04,7.0,8.0
XRP,1,1,98,38.78,-1.0,-0.52,2.03,-2.92,0.44,-1.0,-19.69,7.0,-15.86,0.69,61.22,76.98,175.35,3.65,3.22,-0.27,-0.31,8.0,4.0
XRP,1,2,98,40.82,-0.87,-0.6,2.99,-3.54,0.58,-0.87,-13.13,13.27,-6.95,0.84,59.18,119.49,205.07,4.31,2.91,-0.2,-0.3,7.0,5.0
XRP,1,3,98,43.88,-0.37,-0.99,4.75,-4.37,0.85,-0.37,-12.33,33.82,19.82,1.09,56.12,204.41,240.51,6.39,3.2,-0.06,-0.12,5.0,4.0
XRP,1,4,98,43.88,-0.32,-0.63,5.08,-4.55,0.87,-0.32,-17.98,19.42,22.16,1.12,56.12,218.62,250.15,6.36,4.11,-0.05,-0.08,5.0,5.0
XRP,1,5,97,42.27,-0.32,-1.19,5.72,-4.74,0.88,-0.32,-19.19,25.72,21.99,1.21,57.73,234.67,265.24,7.09,4.22,-0.04,-0.07,8.0,4.0
XRP,1,6,97,46.39,0.55,-0.88,7.18,-5.2,1.2,0.55,-20.04,36.19,64.38,1.38,53.61,323.26,270.16,8.69,4.46,0.06,0.12,8.0,6.0
XRP,1,7,97,46.39,-0.02,-1.38,8.09,-7.04,0.99,-0.02,-32.86,60.0,37.58,1.15,53.61,363.9,365.99,11.05,5.93,-0.0,-0.0,5.0,5.0
XRP,1,8,97,43.3,0.33,-1.27,9.13,-6.39,1.09,0.33,-18.65,90.12,52.35,1.43,56.7,383.52,351.5,12.67,4.91,0.03,0.07,5.0,5.0
XRP,1,9,97,46.39,0.58,-1.22,9.43,-7.07,1.15,0.58,-21.17,75.21,64.86,1.33,53.61,424.16,367.8,12.52,5.24,0.05,0.11,5.0,5.0
XRP,1,10,97,48.45,0.26,-1.39,9.38,-8.31,1.06,0.26,-21.23,64.79,51.06,1.13,51.55,440.79,415.43,12.58,5.49,0.02,0.05,5.0,5.0
XRP,2,1,98,43.88,0.17,-0.15,2.93,-1.98,1.16,0.17,-6.44,21.16,47.66,1.48,56.12,125.8,108.73,3.73,1.83,0.05,0.1,8.0,7.0
XRP,2,2,98,50.0,0.68,-0.01,4.4,-3.03,1.45,0.68,-11.67,37.0,76.4,1.45,50.0,215.51,148.46,6.06,2.46,0.11,0.28,8.0,6.0
