asset,episode_id,start_date,end_date,duration_days,start_close,end_close,min_close,max_close,start_rsi2,end_rsi2,min_rsi2,ret_day1_hold3_pct,ret_day2_hold3_pct,ret_day3_hold3_pct,ret_after_episode_hold3_pct
SPY,SPY_4,2025-09-24,2025-09-25,2,659.42,652.56,652.56,659.42,0.0,0.0,0.0,0.09,1.29,,0.41
SPY,SPY_5,2025-10-10,2025-10-11,2,650.62,650.62,650.62,650.62,0.0,0.0,0.0,1.44,2.13,,-0.27
SPY,SPY_6,2025-10-22,2025-10-22,1,660.81,660.81,660.81,660.81,0.0,0.0,0.0,2.42,,,2.0
SPY,SPY_7,2025-11-01,2025-11-01,1,674.44,674.44,674.44,674.44,0.0,0.0,0.0,1.56,,,-1.05
SPY,SPY_8,2025-11-16,2025-11-16,1,657.88,657.88,657.88,657.88,0.0,0.0,0.0,3.6,,,-0.14
SPY,SPY_9,2025-11-23,2025-11-24,2,672.89,667.57,667.57,672.89,0.0,0.0,0.0,0.46,1.84,,1.22
SPY,SPY_10,2025-12-01,2025-12-01,1,677.08,677.08,677.08,677.08,0.0,0.0,0.0,0.77,,,0.92
SPY,SPY_11,2025-12-07,2025-12-09,3,683.71,678.57,678.57,683.71,0.0,0.0,0.0,-0.26,0.59,-0.18,0.34
SPY,SPY_12,2025-12-15,2025-12-17,3,677.04,669.02,669.02,677.04,0.0,0.0,0.0,-0.67,0.58,1.87,1.35
SPY,SPY_13,2025-12-29,2026-01-01,4,684.54,679.05,679.05,684.54,0.0,0.0,0.0,-0.8,-0.74,0.76,0.83
SPY,SPY_14,2026-01-13,2026-01-14,2,690.56,686.37,686.37,690.56,0.0,0.0,0.0,-0.23,-0.94,,0.31
SPY,SPY_15,2026-01-17,2026-01-17,1,679.9,679.9,679.9,679.9,0.0,0.0,0.0,-0.78,,,-1.27
SPY,SPY_16,2026-01-20,2026-01-20,1,674.58,674.58,674.58,674.58,0.0,0.0,0.0,1.48,,,-0.17
SPY,SPY_17,2026-01-24,2026-01-25,2,681.77,681.77,681.77,681.77,0.0,0.0,0.0,1.57,1.49,,0.06
SPY,SPY_18,2026-01-29,2026-01-31,3,690.3,686.24,686.24,690.3,0.0,0.0,0.0,0.18,1.18,0.31,-0.97
SPY,SPY_19,2026-02-04,2026-02-05,2,684.83,672.8,672.8,684.83,0.0,0.0,0.0,1.34,3.16,,0.59
SPY,SPY_20,2026-02-09,2026-02-13,5,693.38,677.78,677.78,693.38,0.0,0.0,0.0,-1.71,-2.15,-1.12,0.08
SPY,SPY_21,2026-02-22,2026-02-23,2,681.19,681.21,681.19,681.21,0.0,0.47,0.0,1.32,0.57,,-0.32
SPY,SPY_22,2026-02-27,2026-03-01,3,682.6,677.29,677.29,682.6,0.0,0.0,0.0,0.03,-0.34,1.14,-0.62
SPY,SPY_23,2026-03-06,2026-03-08,3,668.56,663.52,663.52,668.57,0.0,0.2,0.0,0.84,1.11,1.27,-1.47
SPY,SPY_24,2026-03-12,2026-03-13,2,664.26,661.4,661.4,664.26,0.0,0.0,0.0,0.94,0.8,,-0.06
SPY,SPY_25,2026-03-19,2026-03-20,2,660.3,651.47,651.47,660.3,6.7,7.15,6.7,-2.45,0.54,,0.34
SPY,SPY_26,2026-03-26,2026-03-27,2,646.17,630.14,630.14,646.17,0.0,0.0,0.0,-2.56,-0.33,,2.43
SPY,SPY_27,2026-03-30,2026-03-30,1,628.07,628.07,628.07,628.07,0.0,0.0,0.0,4.19,,,0.85
SPY,SPY_28,2026-05-04,2026-05-04,1,716.3,716.3,716.3,716.3,0.0,0.0,0.0,1.66,,,1.56
SPY,SPY_29,2026-05-16,2026-05-16,1,730.42,730.42,730.42,730.42,0.0,0.0,0.0,0.43,,,-0.21
SPY,SPY_30,2026-05-19,2026-05-19,1,733.56,733.56,733.56,733.56,0.0,0.0,0.0,1.36,,,2.51
SPY,SPY_31,2026-06-06,2026-06-06,1,732.84,732.84,732.84,732.84,0.0,0.0,0.0,0.16,,,-1.71
SPY,SPY_32,2026-06-10,2026-06-10,1,722.14,722.14,722.14,722.14,0.0,0.0,0.0,2.75,,,0.26
SPY,SPY_33,2026-06-17,2026-06-17,1,744.11,744.11,744.11,744.11,0.0,0.0,0.0,0.28,,,-0.67
SPY,SPY_34,2026-06-21,2026-06-21,1,741.86,741.86,741.86,741.86,0.0,0.0,0.0,-0.61,,,-1.32
SPY,SPY_35,2026-06-26,2026-06-27,2,731.36,731.53,731.36,731.53,0.0,6.64,0.0,0.02,0.0,,0.0
QQQ,QQQ_1,2025-09-17,2025-09-17,1,590.22,590.22,590.22,590.22,4.07,4.07,4.07,1.52,,,1.44
QQQ,QQQ_2,2025-09-24,2025-09-25,2,596.26,593.45,593.45,596.26,0.0,0.0,0.0,-0.03,0.33,,0.46
QQQ,QQQ_3,2025-09-29,2025-09-29,1,595.4,595.4,595.4,595.4,0.0,0.0,0.0,1.71,,,0.63
QQQ,QQQ_4,2025-10-04,2025-10-04,1,602.61,602.61,602.61,602.61,0.0,0.0,0.0,1.4,,,0.31
QQQ,QQQ_5,2025-10-10,2025-10-11,2,584.43,584.43,584.43,584.43,0.0,0.0,0.0,1.93,3.03,,-0.45
QQQ,QQQ_6,2025-10-22,2025-10-22,1,607.34,607.34,607.34,607.34,0.0,0.0,0.0,1.91,,,2.79
QQQ,QQQ_7,2025-10-31,2025-11-01,2,630.6,630.6,630.6,630.6,0.0,0.0,0.0,-1.33,0.07,,-2.38
QQQ,QQQ_8,2025-11-10,2025-11-11,2,622.33,605.07,605.07,622.33,0.0,0.0,0.0,0.09,2.95,,-5.2
QQQ,QQQ_9,2025-11-14,2025-11-17,2,622.91,600.49,600.49,622.91,0.0,0.0,0.0,-2.55,-1.64,,-2.32
QQQ,QQQ_10,2025-11-21,2025-11-21,1,590.67,590.67,590.67,590.67,0.18,0.18,0.18,3.01,,,4.06
QQQ,QQQ_11,2025-12-01,2025-12-01,1,614.55,614.55,614.55,614.55,0.0,0.0,0.0,1.33,,,0.55
QQQ,QQQ_12,2025-12-08,2025-12-08,1,622.7,622.7,622.7,622.7,0.0,0.0,0.0,-0.1,,,-1.78
QQQ,QQQ_13,2025-12-11,2025-12-12,2,622.1,613.15,613.15,622.1,0.0,0.0,0.0,-1.07,-0.73,,-1.01
QQQ,QQQ_14,2025-12-15,2025-12-17,3,608.69,601.2,601.2,609.23,0.0,6.3,0.0,-0.15,1.19,2.54,1.66
QQQ,QQQ_15,2025-12-27,2026-01-02,6,622.4,612.61,612.61,622.4,0.0,0.0,0.0,-1.07,-0.87,-0.82,1.53
QQQ,QQQ_16,2026-01-11,2026-01-11,1,623.98,623.98,623.98,623.98,0.0,0.0,0.0,-0.99,,,-0.56
QQQ,QQQ_17,2026-01-14,2026-01-14,1,617.78,617.78,617.78,617.78,0.67,0.67,0.67,0.39,,,-0.23
QQQ,QQQ_18,2026-01-17,2026-01-18,2,620.19,620.19,620.19,620.19,0.0,0.0,0.0,-1.75,-0.42,,-0.58
QQQ,QQQ_19,2026-01-25,2026-01-25,1,618.76,618.76,618.76,618.76,0.0,0.0,0.0,2.21,,,0.37
